title,company,postion,from,skill,link,salay,requirements
Senior Full Stack Python Developer,Luftborn ,"Heliopolis, Cairo, Egypt",7 days ago,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Python · Computer Science · Software · Software Development · python development · HTML · CSS · JavaScript · SQL,https://wuzzuf.net/jobs/p/umErRniA2Sld-Senior-Full-Stack-Python-Developer-Luftborn-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Python Developer,"Nile Bits, LLC ","6th of October, Giza, Egypt",13 days ago,Experienced · 4 - 10 Yrs of Exp · IT/Software Development · JavaScript · Python · Software Engineering,https://wuzzuf.net/jobs/p/V9tpf9hKVtVu-Senior-Python-Developer-Nile-Bits-LLC-Giza-Egypt?o=2&l=sp&t=sj&a=python|search-v3|navbl,,
Wagtail (Python Django) Developer Remote - Urgent,GetTechForce.com ,"Cairo, Egypt",14 days ago,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · React · FullStack · backend · Computer Science · Agile · Development · Django,https://wuzzuf.net/jobs/p/lLRPv82EYbk5-Wagtail-Python-Django-Developer-Remote---Urgent-GetTechForce-com-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|navbl,,
Python Technical Lead,RDI ,"Dokki, Giza, Egypt",7 days ago,Experienced · 8+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Python · Flask · Django · MySQL · MongoDB · Docker · Kubernetes,https://wuzzuf.net/jobs/p/jVAMAEFs9QN9-Python-Technical-Lead-RDI-Giza-Egypt?o=4&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Python / Django Developer,RDI ,"Dokki, Giza, Egypt",15 days ago,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · GIT · Docker · javaScript · Angular · RESTful APIs,https://wuzzuf.net/jobs/p/UOTTbSsxB9Q7-Senior-Python-Django-Developer-RDI-Giza-Egypt?o=5&l=sp&t=sj&a=python|search-v3|navbl,,
Junior Python Developer,RDI ,"Dokki, Giza, Egypt",15 days ago,Entry Level · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python · MySQL · JavaScript · React · Angular · RESTful · Django,https://wuzzuf.net/jobs/p/w9gACyzkbBpQ-Junior-Python-Developer-RDI-Giza-Egypt?o=6&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Full Stack Python Engineer,Amwal Tech ,"Cairo, Egypt",20 days ago,Experienced · 4+ Yrs of Exp · IT/Software Development · Python · MySQL · jQuery · JavaScript · React · HTML5 · Software Development · Computer Engineering,https://wuzzuf.net/jobs/p/Sz7aIfCDRTJ1-Senior-Full-Stack-Python-Engineer-Amwal-Tech-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|navbl,,
Python Developer,OdooTec ,"New Cairo, Cairo, Egypt",22 days ago,Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design,https://wuzzuf.net/jobs/p/eALeQDui1EFp-Python-Developer-OdooTec-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|navbl,,
Python - Odoo Developer,Be In Track ,"Ain Shams, Cairo, Egypt",23 days ago,Experienced · 2 - 5 Yrs of Exp · Customer Service/Support · Agile · Computer Science · Git · Information Technology (IT) · JavaScript · Odoo · Programming · Python · Software,https://wuzzuf.net/jobs/p/OJFF30qtFBvM-Python---Odoo-Developer-Be-In-Track-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|navbl,,
Python Developer (FinTech),Bright Creations ,"Smart Village, Giza, Egypt",26 days ago,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Python Scripting · Web Scraping · WWeb Scraping · CI · Computer Science,https://wuzzuf.net/jobs/p/nmicCQZOcUlE-Python-Developer-FinTech-Bright-Creations-Giza-Egypt?o=10&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Python Developer (Relocation),Musala Soft ,"Sofia, Bulgaria",28 days ago,Experienced · 5+ Yrs of Exp · IT/Software Development · backend · Computer Science · Development · English · Information Technology (IT) · OOP · Software Development · Software · Kubernetes,https://wuzzuf.net/jobs/p/njyfOAPiZK5v-Senior-Python-Developer-Relocation-Musala-Soft-Sofia-Bulgaria?o=11&l=sp&t=sj&a=python|search-v3|navbl,,
"Senior Python,Django Back-End Developer",Your Parts ,"Maadi, Cairo, Egypt",30 days ago,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · back-end · Back-End Developer · Computer Science · developer · Django · Python · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/TX1vFJhjI84v-Senior-PythonDjango-Back-End-Developer-Your-Parts-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Software Engineer - Python,ITWORX ,"Nasr City, Cairo, Egypt",1 month ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · Python · React · Django · Information Technology (IT) · Software Engineering · AWS,https://wuzzuf.net/jobs/p/7lioBbpNN2sp-Senior-Software-Engineer---Python-ITWORX-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|navbl,,
Regular Python Developer,Luxoft (A DXC Technology Company) ,"Cairo, Egypt",1 month ago,Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Python · c++ · Software Development,https://wuzzuf.net/jobs/p/PIDU3P1mRuKG-Regular-Python-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Full Stack React/ Python (Django) Developer - Remote,GetTechForce.com ,"Cairo, Egypt",1 month ago,Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · APIs · CSS · Design · Development · Front end · HTML,https://wuzzuf.net/jobs/p/JbQeLPSkcsfX-Senior-Full-Stack-React-Python-Django-Developer---Remote-GetTechForce-com-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|navbl,,
Python Developer,GetTechForce.com ,"Cairo, Egypt",1 month ago,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Flask · Python · Software Development · Computer Science · Information Technology (IT) · Frameworks · Kubernetes,https://wuzzuf.net/jobs/p/MEdF7MFl6qZV-Python-Developer-GetTechForce-com-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Odoo Developer,Confidential ,"Nasr City, Cairo, Egypt",6 days ago,Experienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · ERP · Odoo ERP · Accounting · Computer Science · Odoo Development,https://wuzzuf.net/jobs/p/yZ35zdjyjetO-Senior-Odoo-Developer-Cairo-Egypt?o=17&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Odoo Developer,RISEUP (Endemag for Administrative Skills Development) ,"Mohandessin, Giza, Egypt",8 days ago,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · IT/Software Development · Purchasing/Procurement · Computer Science · CSS · HTML · Information Technology (IT) · JavaScript · Odoo · PostgreSQL,https://wuzzuf.net/jobs/p/gkvkIrtHvjjF-Senior-Odoo-Developer-RISEUP-Endemag-for-Administrative-Skills-Development-Giza-Egypt?o=18&l=sp&t=sj&a=python|search-v3|navbl,,
Linux System Administrator,OpenCode ,"Maadi, Cairo, Egypt",16 hours ago,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Telecommunication · MNOs · VAS · SS7 · VXML · ISUP · MAP · CAP,https://wuzzuf.net/jobs/p/rRrQynyg8zHc-Linux-System-Administrator-OpenCode-Cairo-Egypt?o=19&l=sp&t=sj&a=python|search-v3|navbl,,
Data Scientist,Confidential ,"Giza, Egypt",2 days ago,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · data scientist · Engineering · Data · Information Technology (IT) · Python,https://wuzzuf.net/jobs/p/EVzEDYkzxJg2-Data-Scientist-Giza-Egypt?o=20&l=sp&t=sj&a=python|search-v3|navbl,,
DevOps Team Lead,Trufla ,"Heliopolis, Cairo, Egypt",2 days ago,Manager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · Docker · Leadership · Linux · MySQL · Python · Software Development,https://wuzzuf.net/jobs/p/VCRmtKlV0M2F-DevOps-Team-Lead-Trufla-Cairo-Egypt?o=21&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Software Engineer,Tafeal ,"Riyadh, Saudi Arabia",6 days ago,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Agile · JSON · Python · REST · Software Development · Computer Science · Design · Programming · Software Engineering,https://wuzzuf.net/jobs/p/fNzjv3syEZqk-Senior-Software-Engineer-Tafeal-Riyadh-Saudi-Arabia?o=22&l=sp&t=sj&a=python|search-v3|navbl,,
Machine Learning Engineer,Equilibrium Technologies ,"Cairo, Egypt",6 days ago,Experienced · 2 - 10 Yrs of Exp · IT/Software Development · Machine Learning · Computer Science · Artificial Intelligence (AI) · DevOps · Python,https://wuzzuf.net/jobs/p/dfVo2jjZ7Zgm-Machine-Learning-Engineer-Equilibrium-Technologies-Cairo-Egypt?o=23&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Data Scientist,Confidential ,"New Nozha, Cairo, Egypt",5 days ago,Experienced · 4 - 6 Yrs of Exp · R&D/Science · Business Development · Analyst/Research · Analysis · Data Science · Information Technology (IT) · Engineering · Computer Science · Software Engineering · Software Development,https://wuzzuf.net/jobs/p/8MHaaeCAwJzU-Senior-Data-Scientist-Cairo-Egypt?o=24&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo developer expert,Thaka International ,"Badr City, Cairo, Egypt",13 days ago,Experienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Software Engineering · Information Technology (IT) · Programming · HTML · jQuery · PostgreSQL,https://wuzzuf.net/jobs/p/BNYIr1DrNvul-Odoo-developer-expert-Thaka-International-Cairo-Egypt?o=25&l=sp&t=sj&a=python|search-v3|navbl,,
Full-stack Developer (Django & ReactJS),SSC Egypt ,"Maadi, Cairo, Egypt",14 days ago,Experienced · 3 - 4 Yrs of Exp · IT/Software Development · REST · Python · JavaScript · diango · Git · HTML · CSS · React · Docker,https://wuzzuf.net/jobs/p/XmEUvMXl7AW9-Full-stack-Developer-Django-ReactJS-SSC-Egypt-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo Developer,Superior Business Solutions ,"Nasr City, Cairo, Egypt",8 days ago,Entry Level · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Odoo · Python · POC · Software Design · ERP,https://wuzzuf.net/jobs/p/AAFH0r5jC9T8-Odoo-Developer-Superior-Business-Solutions-Cairo-Egypt?o=27&l=sp&t=sj&a=python|search-v3|navbl,,
Elastic Enabler Expert,Orange Business ,"Nasr City, Cairo, Egypt",12 days ago,Experienced · 5 - 9 Yrs of Exp · IT/Software Development · Kubernetes · DevOps · Elastic · elk · Elasticsearch · elastic stack · logstash · elastic cloud · metricbeat,https://wuzzuf.net/jobs/p/esM5vXrGSdNf-Elastic-Enabler-Expert-Orange-Business-Cairo-Egypt?o=28&l=sp&t=sj&a=python|search-v3|navbl,,
Ruby ON Rails Developer,Confidential ,"Nasr City, Cairo, Egypt",6 days ago,Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Quality · APIs · Information Technology (IT) · JavaScript · MVC · Programming · Ruby · Rails · Python,https://wuzzuf.net/jobs/p/FSc0N0zSlthe-Ruby-ON-Rails-Developer-Cairo-Egypt?o=29&l=sp&t=sj&a=python|search-v3|navbl,,
Data Analyst,London International Patient Services ,"Sheraton, Cairo, Egypt",14 days ago,Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Customer Support · XML · Software Development · Computer Skills · English · Support Desk · Technical Support,https://wuzzuf.net/jobs/p/oi4BuGQEFaXn-Data-Analyst-London-International-Patient-Services-Cairo-Egypt?o=30&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Full Stack Developer,Centro CDX ,"Maadi, Cairo, Egypt",14 days ago,Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Angular · C# · HTML · JavaScript · Python · ASP.Net · Software Development,https://wuzzuf.net/jobs/p/MxEiIvwUkSEm-Senior-Full-Stack-Developer-Centro-CDX-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|navbl,,
Junior Software Tester,RDI ,"Dokki, Giza, Egypt",8 days ago,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Testing · Software Testing · QC · Quality Control · Automation Testing · API · JMeter,https://wuzzuf.net/jobs/p/USO9xeaTU5qs-Junior-Software-Tester-RDI-Giza-Egypt?o=32&l=sp&t=sj&a=python|search-v3|navbl,,
